date,description,endtime,event_id,location,owner,speaker,starttime,summary,title,url,date_dt
EDT October 3,"“Modeling Dynamic Changes of Brain Based on Neuroimaging Data”


  Lexin Li, PhD


  Professor


  Department of Biostatistics and Epidemiology
  & Helen Wills Neuroscience Institute
  University of California, Berkeley


   


  Dr. Li is a statistician / biostatistician primarily working on statistical methodology for high-dimensional data analysis, and applications in neuroimaging, computational biology and biomedical research.", 10:00am,,"Blockley Hall, 423 Guardian Drive, Philadelphia, PA 19104",Clinical Epidemiology and Biostatistics (CCEB),,9:00am ,,"CCEB Seminar- Lexin Li, PhD",http://events.med.upenn.edu/cceb/#!view/event/event_id/710872,03-10-2019
EDT October 8,"Title: A two-part model for individualized treatment rule estimation with semi-continuous outcomes

Abstract: Health care costs in the United States have continued to rise despite little meaningful improvement in health outcomes. A significant portion of these health care costs come from hospital spending. To help improve patient outcomes while reducing the cost of care, health care systems have put on a lot of effort into developing innovative interventions/treatments. Thus, determining target patients deemed likely to benefit from the innovative treatments is a key interest. In other words, we want to identify individualized treatment rules (ITRs) for targeted enrollment of patients. In this paper, we use the health care payments (which is a significant component to health care utilization) as our primary outcome. The problem is challenging such that health care payments often follow a mixture distribution with many patients incurring little to no payments over a given period of time and some patients incurring large costs: i.e. semi-continuous. We develop a general framework for estimation of ITRs based on a two-part modeling, where models are estimated for the zero part of the outcome and the positive part separately. To improve estimation performance in high dimensions, we leverage a scientifically-plausible penalty that encourages the signs of coefficients for each variable to agree between the two models. We also develop a highly efficient algorithm for computation. We demonstrate the effectiveness of our approach in simulated examples and in a study of two treatment plans of complex case management in a major health system.", 4:30pm,,"701 Blockley Hall, 423 Guardian Drive, Philadelphia, PA 19104",Clinical Epidemiology and Biostatistics (CCEB),,3:30pm ,,"Biostatistics Seminar Series - Guanhua Chen, PhD",http://events.med.upenn.edu/cceb/#!view/event/event_id/710427,08-10-2019
EDT October 22,"Title: Predictive Survival Analysis with Longitudinal Measurements and Missing Data

Abstract: An important practical problem in survival analysis is to predict the time to a future event. Available information in this scenario commonly includes longitudinal measurements from the same subject. Since future information is unknown and may develop dynamically over time, such a predictive problem is challenging. We consider a predictive approach based on modeling the forward intensity function. The forward intensity function approach is appealing for being capable of intrinsically incorporating the future dynamics that affect the stochastic event occurrence. To handle the practical difficulty due to the missing data in the longitudinal measurements, and to accommodate observations at irregularly spaced time points, we propose a smoothed composite likelihood approach for estimating the forward intensity model. Our theoretical analysis establishes the validity of the predictive modeling approach and the smoothed composite likelihood method. Extensive simulations and real data analysis demonstrate the promising performance of the predictive approach. This is a joint work with Lili Zhu.", 4:30pm,,"701 Blockley Hall, 423 Guardian Drive, Philadelphia, PA 19104",Clinical Epidemiology and Biostatistics (CCEB),,3:30pm ,,"Biostatistics Seminar Series - Cheng Yong Tang, PhD",http://events.med.upenn.edu/cceb/#!view/event/event_id/710448,22-10-2019
EDT October 29,"Title: Back to the Basics: Residuals and Diagnostics for Generalized Linear Models

Abstract: Ordinal outcomes are common in scientific research and everyday practice, and we often rely on regression models to make inference. A long-standing problem with such regression analyses is the lack of effective diagnostic tools for validating model assumptions. The difficulty arises from the fact that an ordinal variable has discrete values that are labeled with, but not, numerical values. The values merely represent ordered categories. In this paper, we propose a surrogate approach to defining residuals for an ordinal outcome Y. The idea is to define a continuous variable S as a “surrogate” of Y and then obtain residuals based on S. For the general class of cumulative link regression models, we study the residual’s theoretical and graphical properties. We show that the residual has null properties similar to those of the common residuals for continuous outcomes. Our numerical studies demonstrate that the residual has power to detect misspecification with respect to 1) mean structures; 2) link functions; 3) heteroscedasticity; 4) proportionality; and 5) mixed populations. The proposed residual also enables us to develop numeric measures for goodness-of-fit using classical distance notions. Our results suggest that compared to a previously defined residual, our residual can reveal deeper insights into model diagnostics. We stress that this work focuses on residual analysis, rather than hypothesis testing. The latter has limited utility as it only provides a single p-value, whereas our residual can reveal what components of the model are mis specified and advise how to make improvements.


  This is a joint work with Dungang Liu, University of Cincinnati Lindner College of Business.", 4:30pm,,"701 Blockley Hall, 423 Guardian Drive, Philadelphia, PA 19104",Clinical Epidemiology and Biostatistics (CCEB),,3:30pm ,,"Biostatistics Seminar Series - Heping Zhang, PhD",http://events.med.upenn.edu/cceb/#!view/event/event_id/710452,29-10-2019
November 5,"Title: Defining and addressing dependent observation schemes in life history studies

Abstract: Multistate models provide a powerful framework for the analysis of life history
  processes when the goal is to characterize transition intensities, transition probabilities, state occupancy probabilities, and covariate effects thereon.  Data on such processes are often only available at random visit times occurring over a finite period.  We formulate a joint multistate model for the life history process, the recurrent visit process, and a random loss to follow-up time at which the visit process terminates.  This joint model is helpful when discussing the independence conditions necessary to justify the use of standard likelihoods involving the life history model alone and provides a basis for analyses that accommodate dependence.  We consider settings with disease-driven visits occur in combination with routinely scheduled visits and develop likelihoods that accommodate partial information on the types of visits.  Simulation studies suggest that suitably constructed joint models can yield consistent estimates of parameters of interest in the presence of dependent visit processes; identifiability and estimability. issues are also discussed. The biases from intermittent observation of time-dependent covariates will also be considered along with a multistate approach to mitigating this bias through joint modeling. Two applications will illustrate the benefits of joint modeling disease and observation processes.", 4:30pm,,"701 Blockley Hall, 423 Guardian Drive, Philadelphia, PA 19104",Clinical Epidemiology and Biostatistics (CCEB),,3:30pm ,,"Biostatistics Seminar Series - Richard J. Cook, PhD",http://events.med.upenn.edu/cceb/#!view/event/event_id/710425,05-11-2019
November 19,"Title: TBA


   


Abstract: TBA", 4:30pm,,"701 Blockley Hall, 423 Guardian Drive, Philadelphia, PA 19104",Clinical Epidemiology and Biostatistics (CCEB),,3:30pm ,,"Biostatistics Seminar Series - Murali Haran, PhD",http://events.med.upenn.edu/cceb/#!view/event/event_id/710453,19-11-2019
"April 11, 2018 @ 3:00 pm - 4:30 pm","Suchi Saria, PhD John C. Malone Assistant Professor of Computer Science Johns Hopkins University Individualizing Healthcare with Machine Learning Abstract: Healthcare is rapidly becoming a data-intensive discipline, driven by increasing digitization of health data, novel measurement technologies, and new policy-based incentives. Critical decisions about whom and how to treat can be made more precisely by layering an individual’s data over that from a population. In this talk, I will begin by summarizing open challenges associated with learning models from these data. Next, I will…
Find out more »",4:30 pm,,"Austrian Auditorium, CRB, 
415 Curie Blvd.

Philadelphia,
19104",Institute for Biomedical Informatics (UPIBI),,3:00 pm,,"Penn Bioinformatics Forum – Suchi Saria, PhD",http://upibi.org/event/penn-bioinformatics-forum-suchi-saria-phd/,11-04-2018
"May 2, 2018 @ 3:00 pm - 4:30 pm","Peter Kharchenko, Ph.D. Assistant Professor of Biomedical Informatics Harvard University Exploring human brain with single-cell transcriptional and epigenetic measurements Abstract: Single-cell genomic protocols provide powerful means for characterization of cell type and cell state composition in complex biological tissues. Human brain is by far the most complex organ, consisting of 100 billion spatially organized and functionally connected neurons, complemented by over a trillion other cells. In an effort to characterize major cell types of the human brain we used single-cell…
Find out more »",4:30 pm,,"BRB Auditorium, 
421 Curie Blvd

Philadelphia,
PA
19104
United States",Institute for Biomedical Informatics (UPIBI),,3:00 pm,,"Penn Bioinformatics Forum – Peter Kharchenko, PhD",http://upibi.org/event/penn-bioinformatics-forum-peter-kharchenko-phd/,02-05-2018
"May 30, 2018 @ 8:00 am - 5:00 pm","Registration is closed.
Find out more »",5:00 pm,,"College of Physicians of Philadelphia, 
19 S. 22nd St.

Philadelphia,
PA
19103
United States",Institute for Biomedical Informatics (UPIBI),,8:00 am,,2018 Institute for Biomedical Informatics/Genomics and Computational Biology Retreat,http://upibi.org/event/2018-retreat/,30-05-2018
"May 31, 2018","Registration is open, but space is limited. To register, click here. Keynote lecture: Hamish Fraser, MBChB, MSc Associate Professor of Medical Science Brown University “Challenges and strategies in effective scale up OpenMRS and other eHealth systems in resource poor environments” Other speakers include: Mary Regina Boland, PhD, Assistant Professor of Informatics, PSOM Kathy Bowles, PhD, RN, FAAN, FACMI, Professor of Nursing Bimal R. Desai, MD, MBI, FAAP, Assistant Vice President & Chief Health Informatics Officer, CHOP Michael Draugelis, Chief Data…
Find out more »",,,"BRB Auditorium, 
421 Curie Blvd

Philadelphia,
PA
19104
United States",Institute for Biomedical Informatics (UPIBI),,,,Informatics Day 2018,http://upibi.org/event/informatics-day-2018/,31-05-2018
"September 21, 2018 @ 8:00 am - 5:00 pm","Nir Yosef, Ph.D. Assistant Professor of Electrical Engineering & Computer Science University of California Berkeley Details TBA
Find out more »",5:00 pm,,,Institute for Biomedical Informatics (UPIBI),,8:00 am,,"Penn Bioinformatics Forum – Nir Yosef, PhD",http://upibi.org/event/penn-bioinformatics-forum-nir-yosef-phd/,21-09-2018
"October 3, 2018 @ 3:00 pm - 4:30 pm","Gill Bejerano, Ph.D. Associate Professor of Developmental Biology, Computer Science, Pediatrics, Biomedical Data Science Stanford University Automating and democratizing the future of genetic diagnosis Abstract: I will describe a number of works from our lab, focusing on Mendelian/monogenic disease diagnosis. The works combine elements from medical genetics, genomics, machine learning, natural language processing, cryptography and more. Taken together, these works start to paint a compelling picture for the future of genetic diagnosis. The talk will be aimed at both practicing…
Find out more »",4:30 pm,,"Austrian Auditorium, CRB, 
415 Curie Blvd.

Philadelphia,
19104",Institute for Biomedical Informatics (UPIBI),,3:00 pm,,"Penn Bioinformatics Forum – Gill Bejerano, PhD",http://upibi.org/event/penn-bioinformatics-forum-gill-bejerano/,03-10-2018
"November 28, 2018 @ 3:00 pm - 4:30 pm","Melissa Gymrek, Ph.D. Assistant Professor of Computer Science and Engineering, Medicine University of California San Diego Dissecting the contribution of repetitive genetic variation to human traits Recent studies have made substantial progress in identifying genetic variants associated with disease and molecular phenotypes in humans. However, these studies have primarily focused on single nucleotide polymorphisms (SNPs), ignoring more complex variants that have been shown to play important functional roles. Here, I focus on short tandem repeats (STRs), one of the most…
Find out more »",4:30 pm,,"BRB Auditorium, 
421 Curie Blvd

Philadelphia,
PA
19104
United States",Institute for Biomedical Informatics (UPIBI),,3:00 pm,,"Penn Bioinformatics Forum – Melissa Gymrek, PhD",http://upibi.org/event/penn-bioinformatics-forum-melissa-gymrek-phd/,28-11-2018
"December 5, 2018 @ 3:00 pm - 4:30 pm","This event has been canceled due to scheduling conflicts.
Find out more »",4:30 pm,,"Austrian Auditorium, CRB, 
415 Curie Blvd.

Philadelphia,
19104",Institute for Biomedical Informatics (UPIBI),,3:00 pm,,"CANCELED: Penn Bioinformatics Forum – Joel Dudley, PhD",http://upibi.org/event/penn-bioinformatics-forum-joel-dudley-phd/,05-12-2018
January 23 @ 3:00 pm - 4:30 pm,"Sarah Pendergrass, Ph.D., M.S. Assistant Professor of Biomedical & Translational Informatics Geisinger Redefining our Understanding of Disease, Outcome, Phenotype and the Impact of Genetic Architecture through Electronic Health Records Disease is the sum of many parts, and risk, progression, and severity is not the same for each person. Working with large, phenotypically rich datasets, such as electronic health records (EHRs), we can leverage complexity to redefine our understanding of disease, outcome, and phenotype. Advancing how we use ever-expanding EHR data…
Find out more »",4:30 pm,,"Austrian Auditorium, CRB, 
415 Curie Blvd.

Philadelphia,
19104",Institute for Biomedical Informatics (UPIBI),,3:00 pm,,"Penn Bioinformatics Forum – Sarah Pendergrass, PhD, MS",http://upibi.org/event/penn-bioinformatics-forum-sarah-pendergrass-phd-ms/,23-01-2019
February 13 @ 3:00 pm - 4:30 pm,"Tandy Warnow, PhD Professor of Computer Science, Bioengineering University of Illinois Improving Bioinformatics Analyses using Ensembles of Hidden Markov Models Abstract: Profile Hidden Markov Models (HMMs) are statistical models that are in wide use in bioinformatics. In this talk I will present a novel way of using HMMs that improves many bioinformatics analyses. The key approach is to represent a multiple sequence alignment using a collection of profile HMMs, and then use this complex model to analyze new sequences. As…
Find out more »",4:30 pm,,"BRB Auditorium, 
421 Curie Blvd

Philadelphia,
PA
19104
United States",Institute for Biomedical Informatics (UPIBI),,3:00 pm,,"Penn Bioinformatics Forum – Tandy Warnow, PhD",http://upibi.org/event/penn-bioinformatics-forum-tandy-warnow-phd/,13-02-2019
March 12 @ 8:00 am - 5:00 pm,"Kelly Frazer, PhD Professor of Pediatrics Division Chief, Genome Information Sciences Director, Institute for Genomic Medicine University of California, San Diego Using iPS cells and derived cell types to functionally annotate human genetic variants Abstract: Over the past six years, Dr. Frazer’s lab has systematically derived and characterized a unique collection of iPSC lines from 222 individuals – referred to as iPSCORE (iPSC Collection for Omic Research). iPSCORE is currently being used to analyze genotype – molecular phenotype associations in…
Find out more »",5:00 pm,,"BRB Auditorium, 
421 Curie Blvd

Philadelphia,
PA
19104
United States",Institute for Biomedical Informatics (UPIBI),,8:00 am,,"Penn Bioinformatics Forum – Kelly Frazer, PhD",http://upibi.org/event/penn-bioinformatics-forum-kelly-frazer-phd/,12-03-2019
April 10 @ 3:00 pm - 4:30 pm,"Cole Trapnell, Ph.D. Assistant Professor of Genome Sciences University of Washington Massively multiplex chemical transcriptomics at single cell resolution Abstract: High-throughput screens of bioactive compound libraries typically employ low-content assays, e.g. cell survival, which sharply limits what can be learned about mechanisms of action and off-target effects, and furthermore obscures heterogeneity in the responses of individual cells. Here we introduce sci-Chem, a method that employs “oligo hashing” to capture the global transcriptional responses of cells to a large number of…
Find out more »",4:30 pm,,"Austrian Auditorium, CRB, 
415 Curie Blvd.

Philadelphia,
19104",Institute for Biomedical Informatics (UPIBI),,3:00 pm,,"Penn Bioinformatics Forum – Cole Trapnell, PhD",http://upibi.org/event/penn-bioinformatics-forum-cole-trapnell-phd/,10-04-2019
May 8 @ 3:00 pm - 4:30 pm,"Nir Yosef, Ph.D. Assistant Professor of Electrical Engineering & Computer Science University of California Berkeley Details TBA
Find out more »",4:30 pm,,"Austrian Auditorium, CRB, 
415 Curie Blvd.

Philadelphia,
19104",Institute for Biomedical Informatics (UPIBI),,3:00 pm,,"Penn Bioinformatics Forum – Nir Yosef, PhD",http://upibi.org/event/penn-bioinformatics-forum-nir-yosef-phd-2/,08-05-2019
May 23 @ 8:00 am - 5:00 pm,"Registration for this event is closed.
Find out more »",5:00 pm,,"BRB Auditorium, 
421 Curie Blvd

Philadelphia,
PA
19104
United States",Institute for Biomedical Informatics (UPIBI),,8:00 am,,Informatics Day 2019,http://upibi.org/event/informatics-day-2019/,23-05-2019
June 12 @ 8:00 am - 5:00 pm,"Space is limited and registration is required. To register, click here. Invited Speakers: Georg Gerber, MD, PhD Assistant Professor, Harvard Medical School Member of the Harvard-MIT Health Sciences & Technology Faculty Chief, Division of Computational Pathology Co-Director, Massachusetts Host-Microbiome Center Associate Pathologist, Center for Advanced Molecular Diagnostics Department of Pathology, Brigham and Women’s Hospital Barbara Stranger, PhD Assistant Professor, Department of Medicine, Section of Genetic Medicine University of Chicago   Local Speakers: Linda Zhou GCB MD-PhD student, Phillips-Cremins Lab Dokyoon…
Find out more »",5:00 pm,,,Institute for Biomedical Informatics (UPIBI),,8:00 am,,2019 Genomics and Computational Biology Retreat,http://upibi.org/event/2019-gcb-retreat/,12-06-2019
"Oct. 4, 2019 12:00pm to 1:20pm","Suzanne Bakken, RN, PhD, FAAN, FACMI, is the Alumni Professor of Nursing and Professor of Biomedical Informatics at Columbia University. Following doctoral study in nursing at the University of California, San Francisco, she completed a National Library of Medicine postdoctoral fellowship in Medical Informatics at Stanford University. The goal of Dr. Bakken’s program of research is to promote health and reduce health disparities in underserved populations through application of innovative informatics methods. A major focus of her current grant portfolio is visualization of healthcare data for community members, patients, clinicians, and community-based organizations.
Dr. Bakken currently directs the Center for Evidence-based Practice in the Underserved and the Reducing Health Disparities Through Informatics (RHeaDI) predoctoral and postdoctoral training program; both funded by the National Institute of Nursing Research (NINR). She also served as Principal Investigator of the AHRQ-funded Washington Heights Inwood Informatics Infrastructure for Comparative Effectiveness Research (WICER) and its follow-up study, WICER 4 U, which is focused on promoting the use of WICER infrastructure through stakeholder engagement. She has also received funding from the National Cancer Institute, National Library of Medicine, and the Health Resources and Services Administration. Dr. Bakken has published more than 200 peer-reviewed papers. In 2010, she received the Pathfinder Award from the Friends of the National Institute of Nursing Research. She is an elected fellow of the New York Academy of Medicine, American Academy of Nursing, American College of Medical Informatics, and a member of the Institute of Medicine.
This event is free and open to the public, but please register.",1:20pm,,"Colonial Penn Center Auditorium, 3641 Locust Walk",Leonard & Davis Institute (LDI),"Suzanne Bakken, RN, PhD, FAAN, FACMI Alumni Professor of Nursing and Professor of Biomedical Informatics, Columbia University",12:00pm,,"LDI Research Seminar with Suzanne Bakken, RN, PhD, FAAN, FACMI (""Advancing Health Equity Through Informatics"")",https://ldi.upenn.edu/event/ldi-research-seminar-suzanne-bakken-rn-phd-faan-facmi,04-10-2019
"Oct. 11, 2019 12:00pm to 1:20pm","Dr. Karen Murphy is executive vice president, chief innovation officer and founding director of the Steele Institute for Healthcare Innovation at Geisinger.
Dr. Murphy has worked to improve and transform healthcare delivery throughout her career in both the public and private sectors. Before joining Geisinger, she served as Pennsylvania’s secretary of health addressing the most significant health issues facing the state, including the opioid epidemic. Prior to her role as secretary, Dr. Murphy served as director of the State Innovation Models Initiative at the Centers for Medicare and Medicaid Services leading a $990 million CMS investment designed to accelerate health care innovation across the United States. She previously served as president and chief executive officer of the Moses Taylor Health Care System in Scranton, and as founder and chief executive officer of Physicians Health Alliance, Inc., an integrated medical group practice within Moses Taylor.
Dr. Murphy earned her doctor of philosophy in business administration from the Temple University Fox School of Business. She holds a master’s of business administration from Marywood University, a bachelor of science in liberal arts from the University of Scranton, and a diploma in nursing from the Scranton State Hospital School of Nursing. An author and national speaker on health policy and innovation, Dr. Murphy also serves as a clinical faculty member at Geisinger Commonwealth School of Medicine. As chief innovation officer, Dr. Murphy leads Geisinger’s deep commitment to innovation, one of the organization’s four principle values along with kindness, excellence and learning to fulfill the mission of caring. Geisinger is an integrated healthcare system that includes 13 hospital campuses, two research centers, the Geisinger Commonwealth School of Medicine, and a health plan that serves approximately 600,000 members. Geisinger’s more than 30,000 employees, 2500 providers, nearly 500 residents and fellows, and 360 medical students serve and care for the three million residents in Pennsylvania and New Jersey.
This event, co-hosted with the Penn Medicine Center for Health Care Innovation, is free and open to the public, but please register.",1:20pm,,"Colonial Penn Center Auditorium, 3641 Locust Walk",Leonard & Davis Institute (LDI),"Karen Murphy, PhD, RN Executive Vice President and Chief Innovation Officer, Founding Director, Steel Institute for Healthcare Innovation, Geisinger",12:00pm,,"LDI/CHCI Health Policy Seminar with Karen Murphy, PhD, RN (“A Road to the True North: Innovation that matters”)",https://ldi.upenn.edu/event/ldichci-health-policy-seminar-karen-murphy-phd-rn,11-10-2019
"Oct. 25, 2019 12:00pm to 1:20pm","Katherine Hobbs Knutson, MD, MPH is the Chief of Behavioral Health at Blue Cross North Carolina (BCNC). She is an Adult and Child Psychiatrist and adjunct Assistant Professor at the Duke University School of Medicine. At BCNC, Katherine is leading the strategy for value transformation for behavioral health, focusing on alternative payment methods, outcome measurement, and innovative service delivery models. Clinically, she has practiced in integrated care settings treating individuals with serious mental illness and substance use disorders. Prior to joining BCNC, Katherine was the Chief Medical Officer at Alliance Behavioral Healthcare (2017-18), Director of Community Psychiatry at the Children’s National Health System (2014-15), and Associate Medical Director for Psychiatry for the Massachusetts Medicaid program (2013-14). She has conducted health services research on psychiatry telephone consultation programs, behavioral health predictive modeling, and care management interventions that incorporate peer and family support.
This event is free and open to the public, but please register.",1:20pm,,"Colonial Penn Center Auditorium, 3641 Locust Walk",Leonard & Davis Institute (LDI),"Katherine Hobbs Knutson, MD MPH Chief of Behavioral Health at Blue Cross North Carolina (BCNC)",12:00pm,,"LDI Health Policy Seminar with Katherine Hobbs Knutson, MD, MPH (""Value-based payment models for behavioral health"")",https://ldi.upenn.edu/event/ldi-health-policy-seminar-katherine-hobbs-knutson-md-mph,25-10-2019
"Nov. 8, 2019 12:00pm to 1:20pm","This event is free and open to the public, but please register.",1:20pm,,"Colonial Penn Center Auditorium, 3641 Locust Walk",Leonard & Davis Institute (LDI),"Aaron Kesselheim, MD, JD, MPH Professor of Medicine, Harvard Medical School",12:00pm,,"LDI Research Seminar with Aaron Kesselheim, MD, JD, MPH (Talk Title TBA)",https://ldi.upenn.edu/event/ldi-research-seminar-aaron-kesselheim-md-jd-mph,08-11-2019
"Dec. 6, 2019 12:00pm to 1:20pm","Joanne Spetz, PhD, is a Professor at the Institute for Health Policy Studies, Department of Family and Community Medicine, and School of Nursing at the University of California, San Francisco. She is the Associate Director for Research at the Healthforce Center at UCSF and the Director of the UCSF Health Workforce Research Center for Long-Term Care. Her fields of specialty are economics of the health care workforce, shortages and supply of registered nurses, organization and quality of the hospital industry, impact of health information technology, effect of medical marijuana policy on youth substance use, and the substance use disorder treatment workforce.
Joanne's teaching is in health care financial management, health economics, and quantitative research methods. She teaches in the UCSF-UC Hastings Health Policy and Law, UCSF-UC Berkeley Masters in Translational Medicine, and UCSF Master of Science in Health Administration and Interprofessional Leadership (MS-HAIL) programs. She also serves on dissertation committees and mentors post-doctoral scholars.
Joanne is an Honorary Fellow of the American Academy of Nursing. She received a Mentorship Award from the Interdisciplinary Research Group on Nursing Issues of AcademyHealth. Joanne was a member of the Institute of Medicine Standing Committee on Credentialing Research in Nursing and a consultant to the Institute of Medicine Committee on the Future of Nursing. She frequently provides testimony and technical assistance to state and federal agencies and policymakers. Joanne received her PhD in economics from Stanford University after studying economics at the Massachusetts Institute of Technology.
This event is free and open to the public, but please register.",1:20pm,,"Colonial Penn Center Auditorium, 3641 Locust Walk",Leonard & Davis Institute (LDI),"Joanne Spetz, PhD Professor at the Institute for Health Policy Studies, Department of Family and Community Medicine, and School of Nursing at the University of California",12:00pm,,"LDI Research Seminar with Joanne Spetz, PhD (Talk Title TBA)",https://ldi.upenn.edu/event/ldi-research-seminar-joanne-spetz-phd,06-12-2019
"Jan. 24, 2020 12:00pm to 1:20pm","Anne Sales, PhD, RN is a Professor in the Department of Learning Health Sciences, School of Medicine, University of Michigan, and Research Scientist at the Center for Clinical Management Research at the VA Ann Arbor Healthcare System. Her training is in sociology, health economics, econometrics, and general health services research. Her current work involves theory-based design of implementation interventions, including understanding how feedback reports affect provider behavior and through behavior change have an impact on patient outcomes, and the role of social networks in uptake of evidence based practices and implementation interventions. She also leads a Partnered Evaluation Initiative funded by the VA Office of Nursing Services, evaluating the implementation and effectiveness of VA national nursing initiatives. She is co-Editor-in-Chief of Implementation Science, together with Michel Wensing of Heidelberg University in Germany, and Associate Chair of the Department of Learning Health Sciences for Educational Programs and Health System Innovation.
This event is free and open to the public, but please register.",1:20pm,,"Colonial Penn Center Auditorium, 3641 Locust Walk",Leonard & Davis Institute (LDI),"Anne Sales, PhD, RN Professor in the Department of Learning Health Sciences, School of Medicine, University of Michigan",12:00pm,,"LDI Research Seminar with Anne Sales, PhD, RN (Talk Title TBA)",https://ldi.upenn.edu/event/ldi-research-seminar-anne-sales-phd-rn,24-01-2020
"Mar. 13, 2020 12:00pm to 1:20pm","Maria Polyakova, PhD, is an Assistant Professor of Health Research and Policy at the Stanford University School of Medicine. Her work investigates questions surrounding the role of government in the design and financing of health insurance systems. She is interested in how public subsidies affect health insurance markets, what characterizes efficient public or private health insurance contracts, whether innovative health insurance contract design that mimics the behavior of experts could improve population health, how the structure of health insurance systems may affect the degree of inequality in health outcomes, as well as in how individuals make decisions about their health insurance plans, and the role of insurance in determining the structure of provider labor markets.
This event is free and open to the public, but please register.",1:20pm,,"Colonial Penn Center Auditorium, 3641 Locust Walk",Leonard & Davis Institute (LDI),"Maria Polyakova, PhD Assistant Professor of Health Research and Policy, Stanford University School of Medicine",12:00pm,,"LDI Research Seminar with Maria Polyakova, PhD (Talk Title TBA)",https://ldi.upenn.edu/event/ldi-research-seminar-maria-polyakova-phd-0,13-03-2020
"Mar. 20, 2020 12:00pm to 1:20pm","Michael Frakes joined the Duke Law faculty in June, 2016 from Northwestern University’s Pritzker School of Law, where he was an associate professor. He also holds a secondary faculty appointment in the Duke Economics Department. He is generally interested in empirical research in the areas of health law and innovation policy. His research in health is largely focused on understanding how certain legal and financial incentives affect the decisions of physicians and other health care providers. His research in innovation policy centers on the relationship between the financing of the U.S. Patent and Trademark Office and key aspects of its decision making. Michael also serves as a Research Associate at the National Bureau of Economic Research. While at Northwestern, Frakes also served as a faculty fellow at the Institute for Policy Research. He was previously an assistant professor of Law at Cornell Law School from 2011-2014.
Frakes’ scholarship has appeared in, or is forthcoming in, various economics and law & economics journals including the American Economic Review, the Review of Economics and Statistics, the Journal of Public Economics, the Journal of Health Economics, the Journal of Empirical Legal Studies, and the American Law and Economics Review, along with various law reviews including the Stanford Law Review, the University of Chicago Law Review, the Duke Law Journal, and the Vanderbilt Law Review. He is currently serving as the Principal Investigation on an R01 award from the NIH, exploring the effects of immunizing physicians from medical liability on the extent and quality of the medical care they deliver.
Frakes received his BS in economics from the Massachusetts Institute of Technology in 2001, his JD, cum laude, from Harvard Law School in 2005, and a PhD in economics from MIT in 2009. He was an associate at Skadden, Arps, Slate, Meagher & Flom in Wilmington, Del., from 2005 to 2007. From 2009 to 2011, he was an academic fellow at the Petrie-Flom Center for Health Law Policy, Biotechnology, and Bioethics at Harvard Law School.
This event is free and open to the public, but please register.",1:20pm,,"Colonial Penn Center Auditorium, 3641 Locust Walk",Leonard & Davis Institute (LDI),"Michael Frakes, PhD, JD Professor of Law and Economics, Duke Law",12:00pm,,"LDI Research Seminar with Michael Frakes, PhD, JD (Talk Title TBA)",https://ldi.upenn.edu/event/ldi-research-seminar-michael-frakes-phd-jd,20-03-2020
"Apr. 24, 2020 12:00pm to 1:20pm","Dr. Cunningham is a Professor in the U-M Department of Emergency Medicine, Associate Vice President for Research-Health Sciences, U-M Office of Research, Director of the CDC-funded U-M Injury Center, Professor in the Department of Health Behavior and Health Education of the U-M School of Public Health, and Principal Investigator, Firearm Safety Among Children and Teens Consortium (FACTS) . Her expertise is in ED-based research on substance use, violence, and other negative outcomes, particularly among children, and the development and application of behavioral interventions in the ED setting. In directing the Injury Center (one of nine centers in the nation), Dr. Cunningham conceptualizes, oversees, and guides the short and long-term missions of the Injury Center. She has led large multidisciplinary teams of investigators through the conduct of several R01 proposals, including longitudinal studies evaluating interventions, service utilization, and mental health outcomes among youth with assault-related injury (NIDA, Project FYI), and the subsequent five-year methodological cohort evaluation. In addition, Dr. Cunningham and her team have developed and successfully implemented behavioral interventions focused on reducing substance use among underage drinkers seeking ED care (NIAAA, Project U Connect) with a focus on cutting-edge technology-delivered interventions (Web based, text based, computer augmented). Dr. Cunningham was instrumental in the development of such global projects as the medical, nursing and post-graduate education of emergency medicine content in Ghana colleagues (Fogarty).
This event is free and open to the public, but please register.",1:20pm,,"Colonial Penn Center Auditorium, 3641 Locust Walk",Leonard & Davis Institute (LDI),"Rebecca Cunningham, MD Professor, Emergency Medicine; Director, Injury Prevention Center; Associate Vice President for Research-Health Sciences, U-M Office of Research",12:00pm,,"LDI Research Seminar with Rebecca Cunningham, MD (Talk Title TBA)",https://ldi.upenn.edu/event/ldi-research-seminar-rebecca-cunningham-md,24-04-2020
